document,customer,channel,document_id,event,time,.order
product A - details.pdf,180,conversation,1087,complete,2017-06-26T02:45:56Z,3808
working with us,416,showpad,2150,complete,2018-02-10T12:34:20Z,4871
order,270,showpad,2499,complete,2017-09-29T06:16:06Z,5220
survey.pdf,368,conversation,1410,complete,2017-12-14T08:34:22Z,4131
order,95,showpad,2324,start,2017-04-12T17:16:10Z,2324
Company presentation.pdf,155,email,155,complete,2017-06-03T14:19:00Z,2876
Company presentation.pdf,443,conversation,443,complete,2018-03-01T21:36:57Z,3164
Product A,497,email,997,complete,2018-05-03T22:29:46Z,3718
product A - details.pdf,138,showpad,1067,complete,2017-05-18T23:10:39Z,3788
Company presentation.pdf,448,showpad,448,complete,2018-03-04T02:38:16Z,3169
Product A,24,conversation,524,start,2017-01-24T20:40:07Z,524
survey.pdf,439,email,1447,complete,2018-02-25T07:21:37Z,4168
Company presentation.pdf,12,email,12,complete,2017-01-08T21:35:46Z,2733
working with us,20,showpad,1754,start,2017-01-22T01:07:52Z,1754
Product A,128,showpad,628,start,2017-05-06T15:45:17Z,628
Company presentation.pdf,451,email,451,complete,2018-03-09T00:29:10Z,3172
Product A,90,showpad,590,start,2017-04-05T11:45:27Z,590
Company presentation.pdf,148,email,148,start,2017-05-24T09:05:09Z,148
product A - details.pdf,451,showpad,1215,start,2018-03-10T17:15:47Z,1215
Product A,379,email,879,start,2017-12-29T11:56:17Z,879
survey.pdf,116,email,1291,complete,2017-05-01T05:32:37Z,4012
Product B.pdf,280,conversation,1626,complete,2017-09-30T23:50:04Z,4347
Product A,296,showpad,796,complete,2017-10-15T05:40:42Z,3517
Product A,242,showpad,742,start,2017-08-23T09:09:28Z,742
Product A,194,email,694,start,2017-07-10T13:13:15Z,694
Company presentation.pdf,10,showpad,10,complete,2017-01-06T09:13:28Z,2731
order,481,showpad,2710,start,2018-04-25T22:21:00Z,2710
survey.pdf,180,conversation,1324,start,2017-07-02T07:43:48Z,1324
working with us,62,showpad,1796,complete,2017-03-12T06:50:13Z,4517
survey.pdf,321,conversation,1384,start,2017-11-10T15:22:25Z,1384
survey.pdf,398,email,1426,complete,2018-01-29T09:07:13Z,4147
Product A,172,showpad,672,start,2017-06-18T18:29:13Z,672
working with us,360,showpad,2094,complete,2017-12-13T12:02:17Z,4815
Product B.pdf,89,email,1518,start,2017-04-05T20:55:30Z,1518
Product A,297,email,797,complete,2017-10-16T14:17:54Z,3518
Product A,345,showpad,845,start,2017-11-23T03:29:17Z,845
survey.pdf,164,email,1313,start,2017-06-14T13:36:26Z,1313
Company presentation.pdf,144,email,144,complete,2017-05-19T05:09:47Z,2865
survey.pdf,203,email,1335,start,2017-07-20T01:12:05Z,1335
survey.pdf,339,email,1393,complete,2017-11-22T00:01:49Z,4114
Product B.pdf,65,conversation,1508,complete,2017-03-14T11:05:29Z,4229
order,304,showpad,2533,start,2017-10-28T22:55:34Z,2533
Product A,35,showpad,535,start,2017-02-08T10:24:28Z,535
survey.pdf,402,email,1427,start,2018-01-29T09:07:13Z,1427
order,370,email,2599,complete,2017-12-31T11:42:12Z,5320
working with us,307,conversation,2041,start,2017-10-26T03:04:04Z,2041
order,360,showpad,2589,start,2017-12-14T01:40:06Z,2589
Company presentation.pdf,481,showpad,481,complete,2018-04-17T12:07:46Z,3202
working with us,445,showpad,2179,start,2018-03-11T02:00:42Z,2179
order,150,showpad,2379,complete,2017-06-04T17:57:25Z,5100
product A - details.pdf,129,showpad,1062,complete,2017-05-09T03:04:13Z,3783
survey.pdf,441,email,1448,start,2018-03-04T12:54:28Z,1448
working with us,63,showpad,1797,complete,2017-03-13T03:21:35Z,4518
working with us,77,conversation,1811,start,2017-04-01T08:24:12Z,1811
order,133,showpad,2362,start,2017-05-21T17:29:34Z,2362
Product A,34,conversation,534,start,2017-02-06T05:05:57Z,534
order,318,showpad,2547,start,2017-11-10T20:00:54Z,2547
survey.pdf,405,conversation,1428,start,2018-01-29T18:03:58Z,1428
order,454,showpad,2683,complete,2018-03-22T22:36:05Z,5404
order,337,showpad,2566,start,2017-11-25T14:40:34Z,2566
survey.pdf,300,showpad,1373,complete,2017-10-20T03:06:55Z,4094
order,195,email,2424,start,2017-07-17T10:56:59Z,2424
order,158,showpad,2387,complete,2017-06-14T18:59:51Z,5108
order,303,showpad,2532,complete,2017-10-26T05:08:05Z,5253
survey.pdf,452,conversation,1453,complete,2018-03-11T13:51:57Z,4174
Product A,424,conversation,924,complete,2018-02-13T01:09:21Z,3645
survey.pdf,6,showpad,1241,complete,2017-01-10T11:49:09Z,3962
Product A,490,showpad,990,complete,2018-04-29T01:30:49Z,3711
Product B.pdf,312,showpad,1643,complete,2017-10-28T19:10:59Z,4364
survey.pdf,417,showpad,1434,complete,2018-02-08T14:29:35Z,4155
order,54,showpad,2283,start,2017-03-12T08:49:18Z,2283
product A - details.pdf,196,showpad,1095,start,2017-07-16T10:59:00Z,1095
order,184,showpad,2413,start,2017-07-03T03:39:51Z,2413
order,230,showpad,2459,complete,2017-08-15T01:05:53Z,5180
order,447,showpad,2676,complete,2018-03-11T19:07:07Z,5397
survey.pdf,21,email,1248,complete,2017-01-21T21:42:15Z,3969
working with us,217,showpad,1951,start,2017-08-05T10:45:47Z,1951
Company presentation.pdf,97,conversation,97,start,2017-04-08T15:51:32Z,97
survey.pdf,129,showpad,1299,start,2017-05-09T06:20:15Z,1299
order,80,showpad,2309,complete,2017-04-01T22:53:27Z,5030
order,394,showpad,2623,start,2018-01-25T10:04:29Z,2623
product A - details.pdf,479,email,1230,complete,2018-04-19T05:08:31Z,3951
survey.pdf,398,email,1426,complete,2018-01-29T09:07:13Z,4147
Company presentation.pdf,20,conversation,20,complete,2017-01-18T01:35:20Z,2741
Product A,222,showpad,722,complete,2017-08-04T07:22:06Z,3443
order,357,showpad,2586,complete,2017-12-03T19:20:40Z,5307
working with us,416,showpad,2150,start,2018-02-10T10:14:25Z,2150
survey.pdf,273,showpad,1361,start,2017-09-28T19:40:02Z,1361
survey.pdf,13,showpad,1244,start,2017-01-15T02:41:17Z,1244
Company presentation.pdf,248,showpad,248,start,2017-08-28T19:37:37Z,248
Company presentation.pdf,401,showpad,401,complete,2018-01-24T22:02:51Z,3122
working with us,162,showpad,1896,start,2017-06-20T01:44:29Z,1896
survey.pdf,333,conversation,1389,start,2017-11-18T06:27:33Z,1389
order,302,showpad,2531,start,2017-10-21T01:24:45Z,2531
survey.pdf,21,email,1248,complete,2017-01-21T21:42:15Z,3969
Product A,309,email,809,start,2017-10-25T19:59:00Z,809
Product A,44,conversation,544,complete,2017-02-20T13:00:22Z,3265
order,22,email,2251,complete,2017-01-27T16:32:01Z,4972
survey.pdf,113,showpad,1289,start,2017-04-30T21:24:18Z,1289
working with us,358,showpad,2092,complete,2017-12-03T19:32:34Z,4813
working with us,69,showpad,1803,start,2017-03-20T12:11:39Z,1803
product A - details.pdf,264,showpad,1122,start,2017-09-22T00:40:33Z,1122
Product B.pdf,310,showpad,1642,start,2017-10-26T04:40:26Z,1642
working with us,236,conversation,1970,start,2017-08-23T11:48:38Z,1970
Product A,189,email,689,complete,2017-07-06T07:52:39Z,3410
Company presentation.pdf,7,showpad,7,start,2017-01-05T04:56:11Z,7
Company presentation.pdf,357,conversation,357,complete,2017-11-30T18:02:07Z,3078
Product A,232,showpad,732,complete,2017-08-15T05:41:07Z,3453
order,271,showpad,2500,complete,2017-09-29T04:51:53Z,5221
Product A,44,conversation,544,complete,2017-02-20T13:00:22Z,3265
product A - details.pdf,348,email,1163,start,2017-11-25T12:06:18Z,1163
Company presentation.pdf,186,showpad,186,start,2017-06-30T21:05:35Z,186
survey.pdf,135,email,1302,complete,2017-05-16T15:10:54Z,4023
Product A,48,email,548,start,2017-02-23T22:06:46Z,548
working with us,217,showpad,1951,complete,2017-08-05T13:06:06Z,4672
Product A,412,showpad,912,complete,2018-02-01T05:03:35Z,3633
product A - details.pdf,186,email,1090,complete,2017-07-02T13:25:32Z,3811
Company presentation.pdf,239,showpad,239,complete,2017-08-20T05:15:28Z,2960
Product B.pdf,56,email,1505,complete,2017-03-09T20:58:42Z,4226
working with us,375,showpad,2109,start,2017-12-31T22:00:05Z,2109
working with us,307,showpad,2041,complete,2017-10-26T06:20:11Z,4762
working with us,143,conversation,1877,start,2017-05-25T05:53:21Z,1877
survey.pdf,282,email,1366,start,2017-10-02T13:27:31Z,1366
Company presentation.pdf,141,email,141,start,2017-05-17T14:25:06Z,141
order,185,showpad,2414,complete,2017-07-09T17:52:13Z,5135
Product A,139,email,639,start,2017-05-17T10:33:49Z,639
survey.pdf,81,email,1279,start,2017-04-01T11:53:07Z,1279
working with us,200,showpad,1934,complete,2017-07-19T10:33:42Z,4655
survey.pdf,365,showpad,1408,start,2017-12-13T22:26:00Z,1408
order,64,email,2293,complete,2017-03-14T20:03:19Z,5014
product A - details.pdf,311,showpad,1142,complete,2017-11-02T03:43:41Z,3863
order,341,showpad,2570,complete,2017-11-25T16:56:58Z,5291
product A - details.pdf,474,conversation,1228,start,2018-04-12T11:28:30Z,1228
working with us,315,conversation,2049,start,2017-11-02T23:24:07Z,2049
survey.pdf,436,email,1444,complete,2018-02-24T15:06:30Z,4165
survey.pdf,23,email,1250,start,2017-02-02T12:19:53Z,1250
order,455,showpad,2684,start,2018-03-18T08:12:07Z,2684
working with us,356,showpad,2090,start,2017-12-07T05:21:29Z,2090
working with us,198,conversation,1932,start,2017-07-19T06:02:50Z,1932
working with us,241,showpad,1975,complete,2017-08-28T12:12:44Z,4696
Company presentation.pdf,220,email,220,start,2017-08-01T04:18:34Z,220
survey.pdf,93,showpad,1282,start,2017-04-22T00:00:07Z,1282
product A - details.pdf,311,conversation,1142,start,2017-11-01T21:29:52Z,1142
product A - details.pdf,334,email,1153,start,2017-11-18T03:16:03Z,1153
Product A,18,showpad,518,start,2017-01-16T02:55:24Z,518
Product A,242,showpad,742,complete,2017-08-24T01:39:24Z,3463
Product B.pdf,253,showpad,1609,start,2017-09-13T11:40:52Z,1609
working with us,41,showpad,1775,start,2017-02-21T09:57:05Z,1775
Product A,168,showpad,668,start,2017-06-15T04:24:02Z,668
Product A,486,email,986,complete,2018-04-24T22:03:51Z,3707
order,490,showpad,2717,complete,2018-04-30T23:04:09Z,5438
Product A,387,showpad,887,start,2018-01-06T18:54:56Z,887
Product B.pdf,248,email,1605,complete,2017-08-30T09:49:07Z,4326
order,47,showpad,2276,start,2017-02-28T23:42:09Z,2276
Company presentation.pdf,49,email,49,start,2017-02-25T16:45:40Z,49
Company presentation.pdf,151,showpad,151,start,2017-05-31T09:16:08Z,151
order,135,showpad,2364,complete,2017-05-19T18:53:16Z,5085
order,80,showpad,2309,complete,2017-04-01T22:53:27Z,5030
Product A,95,showpad,595,complete,2017-04-09T03:32:09Z,3316
order,49,showpad,2278,start,2017-02-28T23:42:09Z,2278
survey.pdf,453,email,1454,start,2018-03-19T18:54:44Z,1454
survey.pdf,21,email,1248,complete,2017-01-21T21:42:15Z,3969
Product A,284,conversation,784,complete,2017-10-02T09:16:01Z,3505
Product B.pdf,171,conversation,1563,start,2017-06-19T23:05:00Z,1563
working with us,382,conversation,2116,start,2018-01-01T01:48:21Z,2116
Product B.pdf,226,showpad,1591,start,2017-08-08T13:14:05Z,1591
order,432,showpad,2661,complete,2018-02-21T14:56:59Z,5382
survey.pdf,72,email,1272,complete,2017-03-20T17:07:24Z,3993
Product A,365,showpad,865,complete,2017-12-11T05:17:05Z,3586
survey.pdf,319,email,1382,start,2017-11-06T11:02:51Z,1382
Product A,124,showpad,624,complete,2017-05-04T18:35:38Z,3345
Company presentation.pdf,248,conversation,248,start,2017-08-28T19:37:37Z,248
product A - details.pdf,176,email,1085,complete,2017-06-25T15:35:29Z,3806
order,410,showpad,2639,complete,2018-02-08T06:01:20Z,5360
Company presentation.pdf,125,email,125,complete,2017-05-05T01:39:05Z,2846
Product A,341,showpad,841,complete,2017-11-21T18:20:28Z,3562
working with us,384,showpad,2118,complete,2018-01-08T01:25:42Z,4839
Company presentation.pdf,453,conversation,453,start,2018-03-10T06:57:06Z,453
survey.pdf,204,email,1336,start,2017-07-25T08:14:46Z,1336
Product A,114,email,614,complete,2017-04-28T06:44:12Z,3335
Product A,362,showpad,862,start,2017-12-06T13:34:32Z,862
Company presentation.pdf,218,email,218,start,2017-07-28T17:54:30Z,218
Company presentation.pdf,345,conversation,345,start,2017-11-22T17:04:16Z,345
Company presentation.pdf,123,showpad,123,start,2017-05-03T12:50:34Z,123
Company presentation.pdf,41,showpad,41,start,2017-02-13T17:56:01Z,41
Company presentation.pdf,499,showpad,499,complete,2018-05-01T22:57:38Z,3220
order,406,showpad,2635,complete,2018-01-30T06:20:30Z,5356
Product A,149,conversation,649,complete,2017-05-27T16:26:57Z,3370
order,335,showpad,2564,complete,2017-11-21T21:42:37Z,5285
Company presentation.pdf,243,email,243,start,2017-08-26T10:10:50Z,243
survey.pdf,282,email,1366,start,2017-10-02T13:27:31Z,1366
survey.pdf,73,showpad,1273,start,2017-03-20T17:07:24Z,1273
Company presentation.pdf,223,email,223,complete,2017-08-06T13:59:41Z,2944
order,307,showpad,2536,start,2017-10-28T22:55:34Z,2536
Product B.pdf,363,showpad,1666,start,2017-12-13T03:22:17Z,1666
Company presentation.pdf,20,conversation,20,complete,2017-01-18T01:35:20Z,2741
Product B.pdf,112,showpad,1534,complete,2017-05-03T00:05:59Z,4255
Company presentation.pdf,103,conversation,103,start,2017-04-19T20:22:01Z,103
Product A,338,showpad,838,complete,2017-11-19T09:35:25Z,3559
Company presentation.pdf,20,email,20,complete,2017-01-18T01:35:20Z,2741
working with us,422,showpad,2156,start,2018-02-10T15:33:18Z,2156
survey.pdf,137,conversation,1303,start,2017-05-16T15:10:54Z,1303
Product A,343,showpad,843,start,2017-11-22T06:50:10Z,843
order,6,showpad,2235,start,2017-01-11T09:46:21Z,2235
Company presentation.pdf,304,showpad,304,start,2017-10-20T16:22:26Z,304
order,250,showpad,2479,start,2017-09-13T22:17:12Z,2479
product A - details.pdf,172,email,1082,complete,2017-06-21T08:02:20Z,3803
order,82,email,2311,start,2017-04-09T12:15:11Z,2311
product A - details.pdf,459,showpad,1219,complete,2018-03-19T23:42:46Z,3940
order,145,showpad,2374,complete,2017-06-04T17:44:39Z,5095
order,234,showpad,2463,complete,2017-08-23T09:53:05Z,5184
working with us,69,showpad,1803,start,2017-03-20T12:11:39Z,1803
survey.pdf,307,email,1377,start,2017-10-24T20:19:55Z,1377
order,405,showpad,2634,complete,2018-01-30T20:12:57Z,5355
Product A,270,showpad,770,complete,2017-09-22T23:07:59Z,3491
survey.pdf,393,conversation,1424,start,2018-01-22T08:52:46Z,1424
product A - details.pdf,129,email,1062,complete,2017-05-09T03:04:13Z,3783
survey.pdf,72,showpad,1272,start,2017-03-20T14:00:18Z,1272
survey.pdf,12,email,1243,complete,2017-01-11T00:58:01Z,3964
Product A,457,conversation,957,complete,2018-03-17T10:30:24Z,3678
Company presentation.pdf,185,showpad,185,start,2017-06-30T21:05:35Z,185
Company presentation.pdf,175,showpad,175,complete,2017-06-19T19:03:12Z,2896
survey.pdf,165,email,1314,start,2017-06-14T20:23:59Z,1314
Company presentation.pdf,17,showpad,17,complete,2017-01-16T03:40:51Z,2738
order,282,email,2511,complete,2017-10-08T23:08:14Z,5232
Company presentation.pdf,285,email,285,complete,2017-10-05T14:52:07Z,3006
Company presentation.pdf,323,email,323,start,2017-11-06T15:46:42Z,323
working with us,215,conversation,1949,complete,2017-08-04T22:36:03Z,4670
Company presentation.pdf,163,conversation,163,complete,2017-06-10T15:34:20Z,2884
Product B.pdf,270,showpad,1620,complete,2017-09-23T11:55:10Z,4341
order,383,showpad,2612,start,2018-01-15T02:42:27Z,2612
Product A,252,email,752,start,2017-09-07T00:05:12Z,752
survey.pdf,73,email,1273,start,2017-03-20T17:07:24Z,1273
order,394,showpad,2623,start,2018-01-25T10:04:29Z,2623
Company presentation.pdf,496,showpad,496,start,2018-04-30T00:38:18Z,496
order,402,showpad,2631,start,2018-01-30T04:05:12Z,2631
order,184,showpad,2413,start,2017-07-03T03:39:51Z,2413
product A - details.pdf,362,conversation,1170,complete,2017-12-11T02:02:28Z,3891
order,129,showpad,2358,complete,2017-05-12T21:14:17Z,5079
Product A,202,showpad,702,complete,2017-07-17T22:59:56Z,3423
working with us,480,showpad,2214,start,2018-04-24T09:43:12Z,2214
order,396,email,2625,start,2018-01-25T10:04:29Z,2625
survey.pdf,185,showpad,1326,start,2017-07-02T21:50:04Z,1326
survey.pdf,21,email,1248,complete,2017-01-21T21:42:15Z,3969
order,133,showpad,2362,start,2017-05-21T17:29:34Z,2362
Company presentation.pdf,492,email,492,start,2018-04-28T03:05:15Z,492
survey.pdf,486,email,1471,start,2018-04-25T13:45:42Z,1471
survey.pdf,44,showpad,1258,complete,2017-03-02T19:23:13Z,3979
working with us,353,conversation,2087,complete,2017-12-03T00:02:08Z,4808
Company presentation.pdf,207,showpad,207,complete,2017-07-21T01:29:30Z,2928
